Borough,FIPS County Code,NTA Code,Name,2010 Total Population,2010 Total Acres,2010 Persons Per Acre
Brooklyn,47,BK09,Brooklyn Heights-Cobble Hill,"22,887",235.86,97
Brooklyn,47,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"64,518",1459.24,44.2
Brooklyn,47,BK19,Brighton Beach,"35,547",393.32,90.4
Brooklyn,47,BK21,Seagate-Coney Island,"31,965",851.49,37.5
Brooklyn,47,BK23,West Brighton,"17,750",201.25,88.2
Brooklyn,47,BK25,Homecrest,"44,316",688.43,64.4
Brooklyn,47,BK26,Gravesend,"29,436",731.83,40.2
Brooklyn,47,BK27,Bath Beach,"29,931",480.37,62.3
Brooklyn,47,BK28,Bensonhurst West,"88,727",1071.18,82.8
Brooklyn,47,BK29,Bensonhurst East,"62,978",819.63,76.8
Brooklyn,47,BK30,Dyker Heights,"42,419",686.31,61.8
Brooklyn,47,BK31,Bay Ridge,"79,371",1571.96,50.5
Brooklyn,47,BK32,Sunset Park West,"54,041",1232.93,43.8
Brooklyn,47,BK33,Carroll Gardens-Columbia Street-Red Hook,"38,353",1040.71,36.9
Brooklyn,47,BK34,Sunset Park East,"72,340",621.87,116.3
Brooklyn,47,BK35,Stuyvesant Heights,"63,504",720.99,88.1
Brooklyn,47,BK37,Park Slope-Gowanus,"67,649",961.17,70.4
Brooklyn,47,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"34,495",643.79,53.6
Brooklyn,47,BK40,Windsor Terrace,"20,988",322.38,65.1
Brooklyn,47,BK41,Kensington-Ocean Parkway,"36,891",364.84,101.1
Brooklyn,47,BK42,Flatbush,"105,804",1038.56,101.9
Brooklyn,47,BK43,Midwood,"52,835",822.04,64.3
Brooklyn,47,BK44,Madison,"38,917",628.49,61.9
Brooklyn,47,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,"45,231",1662.88,27.2
Brooklyn,47,BK46,Ocean Parkway South,"20,299",409.21,49.6
Brooklyn,47,BK50,Canarsie,"83,693",1959.94,42.7
Brooklyn,47,BK58,Flatlands,"64,762",1249.32,51.8
Brooklyn,47,BK60,Prospect Lefferts Gardens-Wingate,"67,459",726.33,92.9
Brooklyn,47,BK61,Crown Heights North,"103,169",1185.56,87
Brooklyn,47,BK63,Crown Heights South,"39,670",366.94,108.1
Brooklyn,47,BK64,Prospect Heights,"19,849",237.3,83.6
Brooklyn,47,BK68,Fort Greene,"26,079",378.73,68.9
Brooklyn,47,BK69,Clinton Hill,"34,791",470.63,73.9
Brooklyn,47,BK72,Williamsburg,"32,926",266.08,123.7
Brooklyn,47,BK73,North Side-South Side,"45,774",657.46,69.6
Brooklyn,47,BK75,Bedford,"70,713",749.07,94.4
Brooklyn,47,BK76,Greenpoint,"34,719",809.13,42.9
Brooklyn,47,BK77,Bushwick North,"57,138",570.78,100.1
Brooklyn,47,BK78,Bushwick South,"72,101",923.64,78.1
Brooklyn,47,BK79,Ocean Hill,"31,935",460.85,69.3
Brooklyn,47,BK81,Brownsville,"58,300",750.44,77.7
Brooklyn,47,BK82,East New York,"91,958",2665.73,34.5
Brooklyn,47,BK83,Cypress Hills-City Line,"49,223",631.7,77.9
Brooklyn,47,BK85,East New York (Pennsylvania Ave),"29,343",446.05,65.8
Brooklyn,47,BK88,Borough Park,"106,357",1238.87,85.9
Brooklyn,47,BK90,East Williamsburg,"34,158",895.74,38.1
Brooklyn,47,BK91,East Flatbush-Farragut,"50,355",788.48,63.9
Brooklyn,47,BK93,Starrett City,"13,354",291.08,45.9
Brooklyn,47,BK95,Erasmus,"29,938",333.56,89.8
Brooklyn,47,BK96,Rugby-Remsen Village,"55,326",749.46,73.8
Brooklyn,47,BK99,park-cemetery-etc-Brooklyn,418,5858.51,0.1
Bronx,5,BX01,Claremont-Bathgate,"31,078",377.26,82.4
