,rpt_dt,addr_pct_cd,ofns_desc,loc_of_occur_desc,prem_typ_desc,latitude,longitude,lat_lon,coords_list
0,2020-09-30T00:00:00.000,33,THEFT-FRAUD,INSIDE,RESIDENCE - APT. HOUSE,40.83730401400004,-73.94809867999999,"{'latitude': '40.83730401400004', 'longitude': '-73.94809867999999'}","['40.83730401400004', '-73.94809867999999']"
1,2020-06-24T00:00:00.000,32,ASSAULT 3 & RELATED OFFENSES,,STREET,40.82413968200007,-73.94097291399999,"{'latitude': '40.82413968200007', 'longitude': '-73.94097291399999'}","['40.82413968200007', '-73.94097291399999']"
2,2020-09-29T00:00:00.000,47,ROBBERY,INSIDE,OTHER,40.88144124600007,-73.83235353999999,"{'latitude': '40.88144124600007', 'longitude': '-73.83235353999999'}","['40.88144124600007', '-73.83235353999999']"
3,2020-09-28T00:00:00.000,43,MISCELLANEOUS PENAL LAW,INSIDE,RESIDENCE-HOUSE,40.83527732600004,-73.85403335799998,"{'latitude': '40.83527732600004', 'longitude': '-73.85403335799998'}","['40.83527732600004', '-73.85403335799998']"
4,2020-09-27T00:00:00.000,14,PETIT LARCENY,,STREET,40.75469651000003,-73.99535613299997,"{'latitude': '40.75469651000003', 'longitude': '-73.99535613299997'}","['40.75469651000003', '-73.99535613299997']"
5,2020-09-26T00:00:00.000,6,FELONY ASSAULT,,STREET,40.73375124000006,-74.00629428799994,"{'latitude': '40.73375124000006', 'longitude': '-74.00629428799994'}","['40.73375124000006', '-74.00629428799994']"
6,2020-09-25T00:00:00.000,81,MURDER & NON-NEGL. MANSLAUGHTER,OUTSIDE,,40.68699927500006,-73.93734432899998,"{'latitude': '40.68699927500006', 'longitude': '-73.93734432899998'}","['40.68699927500006', '-73.93734432899998']"
7,2020-09-25T00:00:00.000,40,GRAND LARCENY OF MOTOR VEHICLE,FRONT OF,STREET,40.81649130700004,-73.91624308499998,"{'latitude': '40.81649130700004', 'longitude': '-73.91624308499998'}","['40.81649130700004', '-73.91624308499998']"
8,2020-09-24T00:00:00.000,46,ARSON,,STREET,40.859626495000036,-73.89523196499994,"{'latitude': '40.859626495000036', 'longitude': '-73.89523196499994'}","['40.859626495000036', '-73.89523196499994']"
9,2020-09-24T00:00:00.000,14,GRAND LARCENY,,BUS (OTHER),40.75219869800003,-73.99346504499994,"{'latitude': '40.75219869800003', 'longitude': '-73.99346504499994'}","['40.75219869800003', '-73.99346504499994']"
10,2020-09-22T00:00:00.000,79,BURGLARY,INSIDE,RESIDENCE - PUBLIC HOUSING,40.69882728300007,-73.938819047,"{'latitude': '40.69882728300007', 'longitude': '-73.938819047'}","['40.69882728300007', '-73.938819047']"
11,2020-09-22T00:00:00.000,44,FORGERY,INSIDE,RESIDENCE - APT. HOUSE,40.83739247600005,-73.91645167499998,"{'latitude': '40.83739247600005', 'longitude': '-73.91645167499998'}","['40.83739247600005', '-73.91645167499998']"
