Borough,FIPS_County_Code,ntacode,Name,TotalPop2010,TotalAcres2010,PPA2010,Pop20t29,Pop20t29P,MdHHIncE
Brooklyn,47,BK09,Brooklyn Heights-Cobble Hill,22887,235.86,97,3718,15.4,135413
Brooklyn,47,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,64518,1459.24,44.2,8205,12.5,59576
Brooklyn,47,BK19,Brighton Beach,35547,393.32,90.4,3281,9.5,39577
Brooklyn,47,BK21,Seagate-Coney Island,31965,851.49,37.5,4321,13.4,27818
Brooklyn,47,BK23,West Brighton,17750,201.25,88.2,1497,8.9,42906
Brooklyn,47,BK25,Homecrest,44316,688.43,64.4,6298,14,56602
Brooklyn,47,BK26,Gravesend,29436,731.83,40.2,4492,14.6,44500
Brooklyn,47,BK27,Bath Beach,29931,480.37,62.3,3844,11.6,62248
Brooklyn,47,BK28,Bensonhurst West,88727,1071.18,82.8,12882,14.2,51567
Brooklyn,47,BK29,Bensonhurst East,62978,819.63,76.8,8647,13.2,52527
Brooklyn,47,BK30,Dyker Heights,42419,686.31,61.8,5442,12.4,59430
Brooklyn,47,BK31,Bay Ridge,79371,1571.96,50.5,11074,14,70823
Brooklyn,47,BK32,Sunset Park West,54041,1232.93,43.8,10068,18.5,53359
Brooklyn,47,BK33,Carroll Gardens-Columbia Street-Red Hook,38353,1040.71,36.9,4735,10.8,109809
Brooklyn,47,BK34,Sunset Park East,72340,621.87,116.3,9997,15.1,44939
Brooklyn,47,BK35,Stuyvesant Heights,63504,720.99,88.1,14554,21,48226
Brooklyn,47,BK37,Park Slope-Gowanus,67649,961.17,70.4,10818,14.4,128075
Brooklyn,47,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,34495,643.79,53.6,8583,18.8,104364
Brooklyn,47,BK40,Windsor Terrace,20988,322.38,65.1,2571,11.3,99007
Brooklyn,47,BK41,Kensington-Ocean Parkway,36891,364.84,101.1,4628,13,57167
Brooklyn,47,BK42,Flatbush,105804,1038.56,101.9,17514,16.4,55804
Brooklyn,47,BK43,Midwood,52835,822.04,64.3,7547,13.8,55645
Brooklyn,47,BK44,Madison,38917,628.49,61.9,5268,12.9,67253
Brooklyn,47,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,45231,1662.88,27.2,4736,9.9,88720
Brooklyn,47,BK46,Ocean Parkway South,20299,409.21,49.6,2755,13.3,55672
Brooklyn,47,BK50,Canarsie,83693,1959.94,42.7,13327,15.1,68291
Brooklyn,47,BK58,Flatlands,64762,1249.32,51.8,9989,13.9,74340
Brooklyn,47,BK60,Prospect Lefferts Gardens-Wingate,67459,726.33,92.9,11353,16.4,49827
Brooklyn,47,BK61,Crown Heights North,103169,1185.56,87,22373,20.4,46024
Brooklyn,47,BK63,Crown Heights South,39670,366.94,108.1,8223,20.4,52149
Brooklyn,47,BK64,Prospect Heights,19849,237.3,83.6,3348,15.8,103277
Brooklyn,47,BK68,Fort Greene,26079,378.73,68.9,5402,16.8,68894
Brooklyn,47,BK69,Clinton Hill,34791,470.63,73.9,7972,20.4,82838
Brooklyn,47,BK72,Williamsburg,32926,266.08,123.7,4100,11.9,27920
Brooklyn,47,BK73,North Side-South Side,45774,657.46,69.6,13141,23.1,88437
Brooklyn,47,BK75,Bedford,70713,749.07,94.4,15037,19.3,46476
Brooklyn,47,BK76,Greenpoint,34719,809.13,42.9,7127,21,86206
Brooklyn,47,BK77,Bushwick North,57138,570.78,100.1,14543,25.5,50727
Brooklyn,47,BK78,Bushwick South,72101,923.64,78.1,19069,26.2,44721
Brooklyn,47,BK79,Ocean Hill,31935,460.85,69.3,6324,17.6,38618
Brooklyn,47,BK81,Brownsville,58300,750.44,77.7,7806,14.9,20295
Brooklyn,47,BK82,East New York,91958,2665.73,34.5,14216,14.7,36561
Brooklyn,47,BK83,Cypress Hills-City Line,49223,631.7,77.9,8734,17.8,49998
Brooklyn,47,BK85,East New York (Pennsylvania Ave),29343,446.05,65.8,5039,17.3,33684
Brooklyn,47,BK88,Borough Park,106357,1238.87,85.9,13845,13.6,41017
Brooklyn,47,BK90,East Williamsburg,34158,895.74,38.1,8330,23.1,65164
Brooklyn,47,BK91,East Flatbush-Farragut,50355,788.48,63.9,7500,14.4,55209
Brooklyn,47,BK93,Starrett City,13354,291.08,45.9,1510,11.7,26528
Brooklyn,47,BK95,Erasmus,29938,333.56,89.8,4482,15.6,51261
